SID_Moist,SID_DEA,Tin wieght (g),Tin + wet soil (g),Tin + dry soil (g),wet_soil(g),dry_soil(g),dry_proportion,DEA_mass(wet),DEA_mass(dry),
AG_HC_001,AG_HC_001_ACET,2,30,24.88,28,22.88,0.817142857,25.18,20.57565714,Example!!
TC_RSC_IS_P1_001,TC_RSC_001_ACET,2.32,28.78,21.64,26.46,19.32,0.73015873,24.82,18.12253968,
TC_RSC_IS_P1_001,TC_RSC_001_NO_ACET,2.32,28.78,21.64,26.46,19.32,0.73015873,25.94,18.94031746,
TC_RSC_IS_P1_002,TC_RSC_002_ACET,2.3,28.3,31.34,26,29.04,1.116923077,25.5,28.48153846,
TC_RSC_IS_P4_003,TC_RSC_003_ACET,2.26,28.3,22.66,26.04,20.4,0.783410138,24.66,19.31889401,
TC_RSC_IS_P4_004,TC_RSC_004_ACET,2.32,30.64,23.6,28.32,21.28,0.751412429,24.82,18.6500565,
TC_RSC_Dr_P4_005,TC_RSC_005_ACET,2.26,27.56,25.82,25.3,23.56,0.931225296,25.46,23.70899605,
TC_RSC_Dr_P4_005,TC_RSC_005_NO-ACET,2.26,27.56,25.82,25.3,23.56,0.931225296,25.32,23.57862451,
TC_RSC_Dr_P4_006,TC_RSC_006_ACET,2.34,26.72,25.66,24.38,23.32,0.956521739,25.7,24.5826087,
TC_RSC_Dr_P5_007,TC_RSC_007_ACET,2.28,27.62,26.38,25.34,24.1,0.951065509,25.01,23.78614838,
TC_RSC_Dr_P5_008,TC_RSC_008_ACET,2.26,26.5,24.48,24.24,22.22,0.916666667,25.56,23.43,
