SID_Moist,SID_DEA,Field_location,Replicate,Dry_Mass
AG_LD_001_North Field_1,AG_LD_001_ACET,North Field,1,20.94143191
AG_LD_001_North Field_1,AG_LD_001_NO_ACET,North Field,1,21.80499611
AG_LD_002_North Field_2,AG_LD_002_ACET,North Field,2,23.22936
AG_LD_003_North Field_3,AG_LD_003_ACET,North Field,3,20.76178339
AG_LD_004_North Field_4,AG_LD_004_ACET,North Field,4,19.92751784
AG_LD_005_North Buffer_1,AG_LD_005_ACET,North Buffer,1,22.00786446
AG_LD_005_North Buffer_1,AG_LD_005_NO_ACET,North Buffer,1,21.6391647
AG_LD_006_North Buffer_2,AG_LD_006_ACET,North Buffer,2,21.95886346
AG_LD_007_North Buffer_3,AG_LD_007_ACET,North Buffer,3,23.21123958
AG_LD_008_North Buffer_4,AG_LD_008_ACET,North Buffer,4,23.30800311
AG_LD_009_East Buffer_1,AG_LD_009_ACET,East Buffer,1,16.43333333
AG_LD_009_East Buffer_1,AG_LD_009_NO_ACET,East Buffer,1,17.06666667
AG_LD_010_East Buffer_2,AG_LD_010_ACET,East Buffer,2,11.06360555
AG_LD_011_East Buffer_3,AG_LD_011_ACET,East Buffer,3,14.53642122
AG_LD_012_East Buffer_4,AG_LD_012_ACET,East Buffer,4,14.21862981
AG_LD_013_East Field_1,AG_LD_013_ACET,East Field,1,20.08682422
AG_LD_013_East Field_1,AG_LD_013_NO_ACET,East Field,1,20.03878877
AG_LD_014_East Field_2,AG_LD_014_ACET,East Field,2,17.85194826
AG_LD_015_East Field_3,AG_LD_015_ACET,East Field,3,18.94747235
AG_LD_016_East Field_4,AG_LD_016_ACET,East Field,4,20.61478952
AG_LD_017_South Field_1,AG_LD_017_ACET,South Field,1,23.64663484
AG_LD_017_South Field_1,AG_LD_017_NO_ACET,South Field,1,23.3946778
AG_LD_018_South Field_2,AG_LD_018_ACET,South Field,2,22.81963333
AG_LD_019_South Field_3,AG_LD_019_ACET,South Field,3,23.14385724
AG_LD_020_South Field_4,AG_LD_020_ACET,South Field,4,23.9872954
AG_LD_021_South Buffer_1,AG_LD_021_ACET,South Buffer,1,20.80270851
AG_LD_021_South Buffer_1,AG_LD_021_NO_ACET,South Buffer,1,20.71360033
AG_LD_022_South Buffer_2,AG_LD_022_ACET,South Buffer,2,19.55824108
AG_LD_023_South Buffer_3,AG_LD_023_ACET,South Buffer,3,20.80697965
AG_LD_024_South Buffer_4,AG_LD_024_ACET,South Buffer,4,20.51562974
