Sample_ID,Acetylene,RSC,Pool,Up_or_down,Water_column,Denitrification_rate
TC_RSC_001_ACET,ACET,in-stream,I1,upstream,submerged,119.7390748
TC_RSC_001_NO_ACET,NO_ACET,in-stream,I1,upstream,submerged,17.99167816
TC_RSC_002_ACET,ACET,in-stream,I1,upstream,submerged,27.21120967
TC_RSC_003_ACET,ACET,in-stream,I4,downstream,submerged,30.71590338
TC_RSC_004_ACET,ACET,in-stream,I4,downstream,island,69.17506913
TC_RSC_005_ACET,ACET,dry,D4,upstream,dry,1.793141474
TC_RSC_005_NO_ACET,NO_ACET,dry,D4,upstream,dry,0.51644216
TC_RSC_006_ACET,ACET,dry,D4,upstream,dry,1.011075889
TC_RSC_007_ACET,ACET,dry,D5,downstream,dry,1.703387845
TC_RSC_008_ACET,ACET,dry,D5,downstream,dry,0.137795028
