Sample,NH4_uM,NH4_mg*L,NO3+NO2_uM,NO3+NO2_mg*L
TC_RSC_IS_P1_009,14.31,0.200,-4.938,-0.069166566
TC_RSC_IS_P1_010,12.84,0.180,-4.468,-0.062583276
TC_RSC_IS_P1_011,16.625,0.23,-4.027,-0.056406189
TC_RSC_IS_P1_012,28.726,0.402365082,-5.48,-0.07675836
TC_RSC_IS_P4_013,11.548,0.161752836,-4.331,-0.060664317
TC_RSC_IS_P4_014,10.062,0.140938434,-4.967,-0.069572769
TC_RSC_IS_P4_015,13.141,0.184065987,-4.191,-0.058703337
TC_RSC_IS_P4_016,9.319,0.130531233,-4.265,-0.059739855
TC_RSC_IS_P4i_017,14.75,0.20660325,-1.955,-0.027383685
TC_RSC_IS_P4i_018,35.006,0.490329042,-1.831,-0.025646817
TC_RSC_IS_P4i_019,14.963,0.209586741,-2.108,-0.029526756
TC_RSC_IS_P4i_020,16.643,0.233118501,-3.338,-0.046755366
TC_RSC_Dr_P4_021,8.382,0.117406674,-1.32,-0.01848924
TC_RSC_Dr_P4_022,15.175,0.212556225,0.659,0.009230613
TC_RSC_Dr_P4_023,8.523,0.119381661,-1.944,-0.027229608
TC_RSC_Dr_P4_024,11.849,0.165968943,-1.077,-0.015085539
TC_RSC_Dr_P5_025,9.744,0.136484208,-2.191,-0.030689337
TC_RSC_Dr_P5_026,14.237,0.199417659,-0.441,-0.006177087
TC_RSC_Dr_P5_027,10.062,0.140938434,-1.626,-0.022775382
TC_RSC_Dr_P5_028,10.31,0.14441217,-3.26,-0.04566282
TC_RSC_IS_P1_029,44.134,0.618184938,-4.054,-0.056784378
TC_RSC_IS_P1_030,156.22,2.18817354,-5.185,-0.072626295
TC_RSC_IS_P1_031,7.657,0.107251599,-3.568,-0.049976976
TC_RSC_IS_P1_032,5.781,0.080974467,-1.964,-0.027509748
TC_RSC_IS_P4_033,7.904,0.110711328,-4.495,-0.062961465
TC_RSC_IS_P4_034,12.026,0.168448182,-4.76,-0.06667332
TC_RSC_IS_P4_035,14.839,0.207849873,-4.636,-0.064936452
TC_RSC_IS_P4_036,9.673,0.135489711,-4.607,-0.064530249
TC_RSC_IS_P4i_037,9.443,0.132268101,-4.24,-0.05938968
TC_RSC_IS_P4i_038,16.095,0.225442665,-2.926,-0.040984482
TC_RSC_IS_P4i_039,21.649,0.303237543,-3.518,-0.049276626
TC_RSC_IS_P4i_040,12.716,0.178113012,-3.046,-0.042665322
TC_RSC_Dr_P4_041,5.233,0.073298631,32.235,0.451515645
TC_RSC_Dr_P4_042,8.187,0.114675309,25.741,0.360554187
TC_RSC_Dr_P4_043,10.912,0.152844384,60.163,0.842703141
TC_RSC_Dr_P4_044,8.612,0.120628284,23.192,0.324850344
TC_RSC_Dr_P5_045,8.382,0.117406674,15.012,0.210273084
TC_RSC_Dr_P5_046,5.941,0.083215587,7.489,0.104898423
TC_RSC_Dr_P5_047,5.092,0.071323644,11.222,0.157186554
TC_RSC_Dr_P5_048,5.693,0.079741851,7.984,0.111831888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
