Sample,Date,RSC,Pool,Up_or_down,Water_column,Tin_weight_g,Tin_+_wet_soil_g,Tin_+_dry_soil_g,wet_soil_g_,dry_soil_g,dry_proportion,KCl _g_field_moist_soil,KCl_dry_g,NH4_uM,NH4_mg*L-1,NO3+NO2_uM,NO3+NO2_mg*L-1,ammonia_adj_(mg/g_dry_soil),NOX_adj_(mg/g dry soil),ammonia_adj_ug_NH4/g_soil,NOX_adj_ug_NOx/g_soil
TC_RSC_IS_P1_049,20231205,in-stream,I1,upstream,submerged,2.30,32.88,25.60,30.58,23.30,0.761935906,5.02,3.824918247,9.22,0.13,16.25,0.23,0.0015189,0.002677866,1.52,2.68
TC_RSC_IS_P1_050,20231205,in-stream,I1,upstream,submerged,2.28,29.10,22.76,26.82,20.48,0.763609247,5.20,3.970768084,6.77,0.09,1.83,0.03,0.0010750,0.000290333,1.07,0.29
TC_RSC_IS_P1_051,20231205,in-stream,I1,upstream,submerged,2.24,33.28,26.94,31.04,24.70,0.795747423,5.12,4.074226804,4.40,0.06,3.32,0.05,0.0006804,0.000514094,0.68,0.51
TC_RSC_IS_P1_052,20231205,in-stream,I1,upstream,submerged,2.38,33.96,27.98,31.58,25.60,0.810639645,5.20,4.215326156,4.84,0.07,1.75,0.02,0.0007239,0.000261826,0.72,0.26
TC_RSC_IS_P4_053,20231205,in-stream,I4,downstream,submerged,2.34,32.98,27.08,30.64,24.74,0.807441253,5.06,4.085652742,9.45,0.13,-5.56,-0.08,0.0014576,-0.000857925,1.46,-0.86
TC_RSC_IS_P4_054,20231205,in-stream,I4,downstream,submerged,2.20,32.48,26.26,30.28,24.06,0.794583884,5.08,4.036486129,17.46,0.24,-2.57,-0.04,0.0027260,-0.000401004,2.73,-0.40
TC_RSC_IS_P4_055,20231205,in-stream,I4,downstream,submerged,2.30,32.32,27.46,30.02,25.16,0.838107928,5.06,4.240826116,25.66,0.36,-1.19,-0.02,0.0038140,-0.000177465,3.81,-0.18
TC_RSC_IS_P4_056,20231205,in-stream,I4,downstream,submerged,2.30,33.16,27.06,30.86,24.76,0.802333117,5.12,4.107945561,12.78,0.18,-0.54,-0.01,0.0019608,-8.27031E-05,1.96,-0.08
TC_RSC_IS_P4i_057,20231205,in-stream,I4,downstream,island,2.30,28.82,26.92,26.52,24.62,0.928355958,4.98,4.62321267,11.33,0.16,2.50,0.04,0.0015442,0.000340843,1.54,0.34
TC_RSC_IS_P4i_058,20231205,in-stream,I4,downstream,island,2.30,31.62,27.86,29.32,25.56,0.871759891,5.18,4.515716235,8.92,0.12,3.81,0.05,0.0012445,0.000531949,1.24,0.53
TC_RSC_IS_P4i_059,20231205,in-stream,I4,downstream,island,2.24,28.68,24.02,26.44,21.78,0.823751891,5.08,4.184659607,8.40,0.12,1.58,0.02,0.0012656,0.000238289,1.27,0.24
TC_RSC_IS_P4i_060,20231205,in-stream,I4,downstream,island,2.34,31.96,26.90,29.62,24.56,0.82916948,5.14,4.261931128,3.97,0.06,-1.07,-0.01,0.0005876,-0.000157655,0.59,-0.16
TC_RSC_Dr_P4_061,20231205,dry,D4,upstream,dry,2.26,30.00,28.02,27.74,25.76,0.928622927,5.00,4.643114636,12.66,0.18,3.26,0.05,0.0017179,0.000442418,1.72,0.44
TC_RSC_Dr_P4_062,20231205,dry,D4,upstream,dry,2.30,30.00,27.86,27.70,25.56,0.922743682,5.02,4.632173285,3.83,0.05,-1.78,-0.02,0.0005213,-0.000242483,0.52,-0.24
TC_RSC_Dr_P4_063,20231205,dry,D4,upstream,dry,2.28,30.04,22.30,27.76,20.02,0.721181556,5.00,3.605907781,8.05,0.11,-0.66,-0.01,0.0014068,-0.000115019,1.41,-0.12
TC_RSC_Dr_P4_064,20231205,dry,D4,upstream,dry,2.28,30.02,28.14,27.74,25.86,0.93222783,5.02,4.679783706,3.32,0.05,-3.02,-0.04,0.0004468,-0.000406895,0.45,-0.41
TC_RSC_Dr_P5_065,20231205,dry,D5,downstream,dry,2.32,30.00,28.82,27.68,26.50,0.957369942,5.04,4.825144509,8.24,0.12,-1.49,-0.02,0.0010768,-0.000194902,1.08,-0.19
TC_RSC_Dr_P5_066,20231205,dry,D5,downstream,dry,2.24,30.00,28.26,27.76,26.02,0.937319885,5.00,4.686599424,12.80,0.18,-2.84,-0.04,0.0017211,-0.000382364,1.72,-0.38
TC_RSC_Dr_P5_067,20231205,dry,D5,downstream,dry,2.24,30.00,28.36,27.76,26.12,0.94092219,5.00,4.704610951,8.33,0.12,-2.72,-0.04,0.0011163,-0.000364153,1.12,-0.36
TC_RSC_Dr_P5_068,20231205,dry,D5,downstream,dry,2.28,30.04,28.26,27.76,25.98,0.935878963,5.00,4.679394813,5.59,0.08,-1.65,-0.02,0.0007523,-0.000222794,0.75,-0.22
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
