c_000000003312	K01955
c_000000004426	K03737
c_000000003658	K02337
c_000000001896	K03695
c_000000002317	K01687
c_000000003300	K02314
c_000000002211	K03737
c_000000004879	K02567
c_000000003036	K03578
c_000000003433	K02274
c_000000011704	K04072
c_000000001537	K05802
c_000000002604	K00525
c_000000002543	K01895
c_000000003353	K00548
c_000000000992	K11927
c_000000011480	K02470
c_000000004137	K03046
c_000000000739	K01531
c_000000004260	K06959
c_000000004399	K04043
c_000000004809	K03555
c_000000008200	K01414
c_000000003681	K00265
c_000000004533	K00311
c_000000000094
c_000000000385	K03043
c_000000001874	K01870
c_000000011697	K03596
c_000000003854	K03406
c_000000001574	K02314
c_000000006574	K01952
c_000000003723	K03664
c_000000000714	K00163
c_000000006169	K01139
c_000000011172	K26063
c_000000002688	K00164
c_000000000257	K01733
c_000000000944	K03701
c_000000007285	K13688
c_000000004856
c_000000006619	K12524
c_000000006670	K03320
c_000000006966	K05685
c_000000011701	K10011
c_000000002204
c_000000003307	K03632
c_000000003759	K07085
c_000000006985	K01119
c_000000001861	K11900
c_000000002096	K01682
c_000000001524	K03694
c_000000009629	K15633
c_000000003530	K01873
c_000000004179	K13821
c_000000000965	K03723
c_000000002404	K03406
c_000000006551	K26735
c_000000005874	K01426
c_000000003284	K18889
c_000000000974	K09607
c_000000011392	K03496
c_000000004279	K18138
c_000000004256	K02335
c_000000007076	K21636
c_000000011702	K00108
c_000000008321	K13954
c_000000000827	K01610
c_000000006206	K12256
c_000000010588	K01226
c_000000002776	K02032
c_000000001794	K01825
c_000000002066	K03406
c_000000004285	K03317
c_000000005595	K08483
